study_hours,previous_score,attendance,extra_classes,assignments_submitted,parental_support,internet_usage,sleep_hours,exam_stress,final_score
5,49,79,0,7,3,2,9,1,83.3
3,91,69,1,3,1,4,6,6,69.6
1,55,70,0,7,3,2,5,1,69.0
5,95,93,0,5,2,1,5,5,90.4
7,69,81,1,8,3,5,5,7,89.9
7,46,95,1,7,3,1,7,6,86.4
9,30,98,0,8,3,2,5,2,93.9
3,90,70,1,5,1,5,8,4,78.5
7,72,84,1,5,2,5,4,2,95.0
1,71,81,1,6,0,1,7,1,68.2
4,54,79,1,5,0,4,9,3,71.8
4,68,88,0,5,2,2,5,3,82.1
5,64,98,0,4,2,3,4,7,78.5
7,32,61,0,3,2,3,6,1,70.6
7,73,90,1,6,1,1,5,9,88.2
4,80,96,1,9,0,2,4,6,90.8
7,41,67,1,6,2,2,8,4,76.5
3,48,70,1,6,1,1,6,3,66.2
6,73,62,1,9,0,2,8,3,89.3
2,88,70,1,4,3,4,9,2,74.7
9,78,57,1,8,1,1,4,2,96.8
5,90,95,0,5,0,4,8,5,86.0
6,46,89,0,3,1,2,9,9,74.10000000000001
4,86,95,1,7,0,1,4,2,89.9
7,84,56,1,9,0,2,4,2,93.4
9,76,72,1,8,3,1,8,6,100.0
7,41,93,0,9,1,2,4,2,85.80000000000001
1,91,81,0,5,2,4,5,4,70.7
1,37,60,1,4,3,4,4,6,41.3
9,50,71,1,9,3,2,7,5,100.0
9,99,71,0,5,0,1,9,1,100.0
4,54,92,0,5,2,3,4,6,70.2
9,41,74,0,4,1,4,7,1,88.60000000000001
3,44,71,0,6,2,4,4,3,57.400000000000006
7,88,77,1,6,2,3,4,5,92.8
6,55,78,0,3,2,2,8,5,75.9
8,55,62,0,3,2,1,5,6,71.6
9,76,67,1,6,2,2,9,8,98.5
5,61,51,0,8,0,5,5,5,70.2
1,39,78,0,7,0,4,6,1,57.5
3,45,70,0,5,3,5,8,5,60.0
8,46,64,1,7,0,4,8,3,85.10000000000001
6,52,76,0,5,3,4,5,4,74.1
8,55,99,1,6,3,5,8,8,88.2
9,36,80,1,3,1,5,5,7,67.4
4,43,64,0,8,2,2,8,5,68.9
1,36,72,0,3,0,5,4,2,39.0
1,38,73,0,7,1,2,5,6,47.6
4,77,93,0,3,0,2,5,6,74.69999999999999
7,88,62,1,6,3,2,7,6,96.3
2,68,71,0,8,0,4,8,9,59.0
3,47,92,0,7,2,4,8,8,65.4
1,88,86,0,8,3,5,5,8,74.5
5,46,82,1,5,3,4,4,1,71.0
1,43,52,0,3,1,5,4,5,30.799999999999997
8,60,68,0,8,2,4,9,7,93.9
1,53,72,1,4,3,1,4,6,54.3
1,89,78,1,3,2,1,8,5,72.5
2,74,79,0,5,0,5,7,8,56.3
2,32,88,0,8,2,4,5,3,57.7
6,66,93,0,7,3,4,6,6,87.80000000000001
7,72,96,0,5,1,2,7,5,93.6
5,69,74,0,4,3,3,6,8,72.3
1,84,86,1,8,2,5,7,4,76.4
1,68,96,1,9,2,3,4,8,72.0
3,44,57,0,9,3,3,8,2,72.2
2,33,91,0,6,2,5,6,9,54.0
5,54,65,1,3,0,4,7,9,57.599999999999994
6,42,57,0,7,3,5,8,6,74.39999999999999
7,62,50,0,6,1,3,6,4,73.3
4,45,93,0,8,3,4,5,4,78.4
7,71,54,0,9,0,1,7,6,82.60000000000001
8,95,52,0,9,0,5,5,5,97.1
1,84,50,1,9,0,5,4,6,64.6
6,71,53,0,8,0,4,5,7,76.80000000000001
8,63,89,0,9,0,1,5,7,98.4
5,59,84,0,5,1,1,9,9,71.8
4,42,81,1,8,2,4,7,8,65.1
2,42,91,1,7,0,2,4,6,57.099999999999994
6,47,83,1,6,0,5,5,6,73.69999999999999
6,61,92,1,7,3,5,8,5,91.0
1,68,74,0,4,1,3,6,1,61.400000000000006
9,75,59,1,9,1,4,5,9,94.7
6,58,70,0,4,2,3,4,9,65.7
3,91,95,0,3,1,3,5,9,73.9
4,91,88,1,3,3,1,6,8,84.3
4,86,76,1,4,3,5,4,3,75.2
3,45,76,1,8,2,3,7,1,70.3
3,85,51,1,7,3,1,4,8,71.8
3,39,90,1,4,0,4,7,7,51.099999999999994
4,59,97,0,3,0,3,4,5,69.2
7,54,62,1,4,3,5,6,7,74.2
4,34,58,1,8,2,3,6,4,59.0
9,94,85,1,4,1,4,4,9,96.1
1,78,71,0,7,2,3,5,2,70.5
8,32,91,1,6,1,5,6,9,69.1
7,74,75,0,8,3,1,7,9,94.1
2,43,61,1,3,3,5,7,5,47.5
8,59,66,1,7,0,1,8,1,89.9
1,97,63,0,4,1,2,9,7,66.7
9,47,63,1,4,2,5,9,4,79.69999999999999
9,91,83,0,6,3,5,9,9,100.0
2,66,69,0,3,2,4,7,6,58.10000000000001
7,54,60,0,3,0,3,8,3,76.1
3,77,65,1,5,1,1,9,6,71.8
7,94,80,1,3,1,1,9,6,92.1
9,82,55,1,6,3,4,4,5,97.30000000000001
4,44,68,0,9,1,4,4,2,72.5
1,78,86,1,5,3,3,4,2,73.5
2,97,53,0,5,0,3,5,7,68.2
1,41,96,1,4,1,5,9,2,60.7
5,88,53,0,4,3,2,5,6,80.6
5,66,69,0,3,2,3,8,5,74.60000000000001
7,90,59,0,5,3,4,7,4,90.2
9,72,73,1,4,1,3,9,7,91.69999999999999
9,99,84,0,6,0,1,7,8,100.0
3,68,75,0,4,1,2,4,4,63.2
3,85,86,0,8,1,5,9,1,88.8
3,92,87,0,8,3,1,6,1,96.9
4,75,70,0,4,2,1,5,1,84.5
8,40,89,0,5,1,2,5,1,87.7
6,91,88,1,9,2,5,9,5,99.3
8,54,70,1,9,3,4,4,4,94.1
1,81,59,0,5,2,5,5,9,52.599999999999994
8,33,87,1,7,3,3,4,3,87.3
4,88,95,1,9,0,1,8,7,97.2
1,49,53,0,8,2,3,7,8,53.5
8,92,94,0,6,2,4,6,6,100.0
4,83,69,0,5,0,3,7,1,77.4
6,86,66,1,3,2,5,7,8,74.2
8,70,56,0,8,0,3,8,3,93.3
4,32,53,1,6,1,4,5,8,43.2
3,35,78,0,6,3,4,6,4,65.9
9,34,63,1,5,0,4,5,8,62.5
3,34,52,0,6,2,5,9,1,53.7
9,83,73,0,5,0,4,7,3,98.6
2,76,86,1,9,2,1,9,6,82.2
2,78,65,1,4,1,4,4,9,49.7
2,38,53,1,8,0,3,7,2,54.1
6,49,73,1,7,1,3,5,1,78.5
3,90,83,1,4,3,3,7,3,80.9
9,64,79,1,8,2,5,4,4,100.0
4,79,67,0,5,2,3,8,5,73.2
1,91,68,1,8,1,5,9,3,78.8
4,46,80,0,9,3,5,9,2,79.9
1,32,68,0,5,0,4,5,2,44.2
5,61,98,1,4,0,1,7,7,81.30000000000001
4,42,95,0,3,2,4,5,9,56.8
8,97,68,1,3,1,4,8,2,94.70000000000002
8,43,71,1,8,1,5,7,7,79.5
7,40,73,0,3,0,5,7,7,66.4
3,85,94,0,5,3,3,5,7,76.2
1,96,61,1,6,3,3,5,3,75.7
1,58,79,1,5,0,4,4,7,50.400000000000006
3,38,87,0,6,0,2,8,1,68.8
6,96,80,0,4,1,2,4,1,94.4
7,54,85,0,7,3,3,9,5,90.1
6,71,68,0,6,0,2,7,2,86.80000000000001
6,38,97,1,3,0,3,5,9,60.8
6,69,94,1,5,2,5,7,7,83.3
3,54,85,1,4,0,4,7,4,64.1
6,34,79,1,3,0,1,6,4,65.3
8,40,98,0,4,3,4,9,2,92.9
2,88,82,0,7,1,3,6,5,81.8
5,67,67,1,9,3,3,7,4,91.39999999999999
1,34,98,1,5,1,4,5,1,59.0
1,77,77,1,8,2,3,7,8,69.89999999999999
5,47,96,1,5,0,2,9,3,78.1
3,99,60,1,7,2,2,6,6,76.6
4,66,94,1,5,1,3,5,4,80.10000000000001
3,89,82,1,8,3,3,7,9,81.2
1,77,66,1,6,3,2,8,7,61.599999999999994
1,57,55,1,4,2,3,9,9,45.8
5,98,53,0,8,1,3,9,3,96.1
6,69,69,1,3,2,4,8,1,81.8
3,74,97,0,7,2,1,7,5,88.2
9,91,96,0,6,0,2,9,3,100.0
5,87,76,1,3,2,4,5,6,75.60000000000001
8,96,64,1,3,0,1,7,8,92.60000000000001
1,85,55,0,7,0,3,7,4,63.5
5,69,96,0,6,3,3,6,5,83.4
3,69,63,1,9,0,4,9,5,70.0
1,62,60,0,3,0,3,9,4,52.8
4,35,88,1,3,3,5,8,4,67.9
5,48,58,1,6,2,4,6,4,63.599999999999994
7,69,75,1,5,1,1,6,4,88.6
1,88,65,0,3,1,4,9,4,60.2
3,88,54,0,4,1,2,7,5,65.4
2,77,59,1,6,2,4,6,2,69.5
9,70,99,0,3,0,3,8,2,100.0
6,42,52,0,7,1,3,6,9,64.4
3,74,62,0,8,2,5,8,2,81.2
8,82,92,0,4,0,5,6,6,89.4
8,71,98,0,8,3,5,8,2,100.0
2,92,79,0,8,1,1,6,5,78.5
6,56,94,0,3,0,5,6,4,72.60000000000001
7,67,55,1,4,1,1,5,7,69.3
2,89,66,0,4,1,5,8,7,67.4
2,36,94,0,5,1,1,8,6,55.099999999999994
1,34,68,0,8,0,4,8,5,49.5
8,74,91,0,4,2,4,4,1,100.0
1,87,84,0,5,0,3,6,3,73.5
9,60,95,0,6,1,1,8,9,93.5
6,52,75,0,5,0,2,9,1,85.8
7,71,54,0,7,3,3,4,5,87.60000000000001
7,39,78,1,9,2,4,5,2,82.0
3,61,86,0,3,0,1,8,4,73.2
2,82,69,0,6,3,5,8,1,83.5
9,59,98,0,9,2,2,4,3,100.0
8,68,70,0,9,3,4,6,7,92.2
7,60,59,1,6,2,3,9,3,88.2
9,31,54,1,7,0,1,5,4,77.6
4,41,85,1,5,3,2,8,2,76.4
4,68,55,1,3,1,1,6,3,71.7
1,95,75,1,5,3,5,9,9,72.5
8,42,53,1,4,2,3,9,3,76.19999999999999
3,75,88,1,5,0,1,5,5,74.9
7,56,88,1,6,2,4,7,2,86.80000000000001
2,46,99,1,3,3,3,9,4,66.6
2,89,84,1,5,3,4,7,7,71.8
7,93,50,1,3,1,1,9,7,85.2
6,64,73,1,3,0,3,5,3,78.0
3,99,85,1,4,0,4,4,5,79.6
9,59,55,1,4,3,5,5,1,90.1
6,92,90,1,6,0,5,5,1,100.0
6,57,95,1,7,1,1,4,5,88.3
1,89,93,0,9,2,3,4,9,73.0
4,66,80,1,3,0,2,6,1,76.9
6,51,69,0,7,3,3,9,1,88.10000000000001
6,97,73,1,9,2,5,6,4,100.0
5,49,74,1,9,2,4,4,4,76.8
1,97,85,0,6,1,2,7,2,80.80000000000001
8,93,70,1,9,3,1,7,9,100.0
5,46,79,0,9,0,2,5,9,64.60000000000001
5,41,73,0,3,3,1,8,2,70.80000000000001
7,51,93,0,3,2,2,5,9,78.80000000000001
4,46,91,1,8,3,1,5,6,77.2
6,39,79,1,7,0,1,8,8,76.3
4,94,71,1,5,0,2,9,4,81.9
3,51,77,0,4,1,2,4,2,65.0
7,79,56,0,5,0,1,7,2,90.4
8,43,84,1,7,0,5,5,9,72.9
4,93,77,1,4,3,2,8,1,91.3
2,76,63,1,5,3,3,6,7,59.30000000000001
3,58,59,1,8,2,4,5,3,64.4
1,65,65,1,4,1,1,7,3,63.5
8,81,65,0,3,3,1,4,2,98.4
3,36,80,0,5,0,4,5,6,54.400000000000006
7,58,91,0,4,2,5,5,2,88.5
5,40,74,1,8,3,4,9,4,80.7
5,62,62,0,9,1,2,8,9,76.39999999999999
7,35,55,0,4,1,4,6,9,59.5
9,61,93,0,4,2,1,6,6,99.30000000000001
5,80,58,0,8,2,4,4,4,78.4
1,87,94,0,9,2,3,7,7,81.5
1,55,85,1,5,2,2,4,1,62.0
2,75,92,0,6,2,4,5,4,75.6
6,58,69,1,5,0,1,5,5,71.4
9,33,67,1,9,0,2,6,8,81.3
8,42,92,1,7,3,1,7,2,95.89999999999999
5,68,70,1,8,1,5,8,5,85.2
1,44,53,1,5,0,3,7,6,42.5
7,58,99,0,4,0,5,5,5,84.4
5,58,82,0,8,0,3,8,9,71.3
6,61,76,1,3,3,4,7,1,79.2
7,31,56,1,9,2,2,7,3,79.7
3,76,55,1,5,3,4,8,2,70.4
3,51,64,0,8,1,3,5,3,62.60000000000001
5,56,67,1,5,1,3,7,9,62.5
6,96,81,0,8,1,3,8,9,98.7
9,85,60,1,4,1,1,9,2,100.0
5,50,69,0,3,0,2,9,3,65.2
1,76,73,1,3,0,4,5,4,59.30000000000001
4,88,64,0,7,3,4,8,9,77.4
5,35,97,1,8,2,5,9,3,77.6
5,48,56,0,5,1,3,8,7,66.0
7,86,70,0,3,3,3,7,3,94.4
4,98,91,0,9,0,3,5,7,92.0
1,32,75,0,3,0,4,9,7,43.8
5,30,93,0,6,2,5,7,9,62.400000000000006
7,87,63,0,6,2,1,4,2,91.7
6,67,86,0,3,2,2,4,6,74.6
5,44,70,1,8,3,1,5,9,71.6
4,63,67,1,7,0,4,9,2,72.3
2,90,54,1,3,0,3,9,2,66.2
4,64,52,1,4,2,2,9,5,63.7
3,93,72,1,5,1,4,8,8,73.3
1,54,75,0,7,2,4,7,9,52.599999999999994
8,53,86,0,4,3,4,9,2,94.5
5,41,73,0,7,2,2,7,5,71.80000000000001
4,47,98,0,4,2,2,5,7,69.69999999999999
8,44,68,0,5,3,5,9,6,77.5
7,56,74,1,5,2,5,5,6,76.60000000000001
2,89,70,1,6,0,1,9,7,72.1
1,75,61,1,8,1,2,4,3,63.3
4,46,90,1,4,2,2,6,3,66.9
8,82,82,0,6,3,2,5,9,90.4
2,37,99,0,4,1,5,9,8,56.0
3,56,53,0,6,3,4,6,5,59.30000000000001
1,75,91,1,5,1,3,5,6,64.8
1,79,56,0,7,1,5,8,1,71.4
3,32,71,1,9,2,2,9,1,73.6
5,93,82,0,6,0,5,8,4,92.8
3,73,66,0,4,2,1,4,2,74.0
1,82,73,1,4,3,2,9,7,67.7
1,53,83,0,9,3,1,4,2,76.6
8,89,77,0,8,1,2,6,2,100.0
2,32,92,1,5,1,5,5,5,52.400000000000006
3,49,90,0,4,0,4,7,4,58.599999999999994
2,75,88,1,3,2,3,4,8,57.400000000000006
3,44,71,0,7,3,1,7,4,66.4
7,54,98,0,6,1,5,7,6,82.5
1,46,66,0,8,0,4,5,5,50.7
8,38,83,0,9,3,5,6,2,87.6
2,67,55,0,7,1,1,5,8,62.8
3,77,95,0,5,3,3,9,2,88.8
9,89,55,0,8,0,5,4,9,90.6
7,92,83,0,6,0,2,7,9,97.20000000000002
4,31,50,1,6,3,4,5,3,53.400000000000006
5,40,59,1,9,2,5,5,4,66.7
2,93,70,0,3,3,4,5,8,69.7
8,50,54,0,9,1,2,4,9,80.2
4,47,51,1,5,2,3,6,3,65.6
9,93,71,0,8,1,3,5,5,100.0
5,67,97,0,8,3,2,4,8,90.39999999999999
9,61,51,1,4,2,4,7,3,82.2
4,40,59,0,3,1,5,9,7,45.7
5,74,83,0,3,3,2,8,8,81.0
9,62,65,1,8,3,1,4,3,100.0
8,70,97,0,8,2,4,8,2,100.0
3,37,88,0,7,3,3,5,7,59.2
1,40,71,1,7,0,2,5,9,39.8
3,80,61,0,7,1,3,4,1,79.3
4,70,73,1,3,1,4,8,3,73.9
2,46,96,0,4,3,3,5,5,63.2
1,75,89,0,6,3,2,7,3,75.7
7,61,87,1,7,0,4,6,1,96.0
8,83,59,1,4,2,1,6,7,88.4
7,49,84,0,9,3,2,5,7,83.8
5,62,98,1,5,3,5,8,8,74.69999999999999
1,69,81,1,7,3,2,9,5,68.9
7,61,56,0,9,3,4,5,5,88.2
7,31,70,0,6,1,2,9,5,72.4
9,62,69,0,5,3,1,9,1,100.0
3,59,75,1,5,1,1,8,5,66.1
9,62,53,1,6,3,5,9,6,86.19999999999999
1,55,95,1,7,2,3,7,1,76.0
1,51,71,1,3,0,4,8,7,43.2
4,95,64,0,6,2,4,5,1,90.7
9,67,89,1,6,3,3,7,2,100.0
6,75,70,0,6,3,1,4,2,91.5
3,44,64,1,5,3,1,6,5,56.8
1,73,71,0,4,2,2,5,7,62.0
4,78,77,0,9,3,5,5,1,92.3
9,90,63,0,3,2,5,5,1,100.0
3,96,76,1,7,1,5,7,1,89.2
9,35,90,0,7,0,2,4,6,81.0
7,38,89,0,9,0,5,8,2,88.9
4,35,77,1,4,2,3,4,1,62.599999999999994
3,61,75,0,6,1,2,7,6,63.400000000000006
5,70,98,1,3,2,3,5,2,82.4
5,37,51,1,7,1,2,6,6,59.599999999999994
3,79,74,0,9,3,5,5,8,77.3
9,91,52,0,8,1,3,8,2,100.0
4,91,57,1,9,1,3,9,9,81.5
5,36,93,0,7,1,3,6,8,67.8
4,33,82,1,6,0,2,5,1,62.3
5,35,91,1,8,1,4,6,7,74.3
7,87,84,1,4,3,5,9,6,95.5
9,51,55,0,3,3,3,4,6,77.4
7,55,88,1,4,3,4,7,6,77.9
5,32,72,0,4,1,5,5,6,50.89999999999999
7,70,74,0,9,2,5,8,7,89.7
5,89,99,0,3,2,3,4,3,86.8
3,43,92,0,3,3,3,5,6,63.3
7,41,68,1,7,0,2,4,3,80.30000000000001
2,41,54,0,7,2,4,8,7,53.099999999999994
9,42,60,1,3,1,4,5,7,70.8
1,54,61,1,8,2,3,9,8,54.900000000000006
6,74,59,0,5,3,5,9,2,85.8
7,48,57,1,7,0,3,8,9,67.8
8,84,73,1,5,2,5,6,5,97.0
9,74,77,0,9,2,5,8,9,95.19999999999999
2,37,90,1,8,3,3,6,5,67.8
2,82,85,1,3,0,1,5,7,61.80000000000001
5,84,86,1,8,0,4,6,9,78.9
5,61,70,1,7,3,5,5,4,81.9
6,80,57,0,4,1,5,5,2,76.6
3,73,58,1,9,2,1,7,9,75.1
8,99,96,1,3,1,2,5,2,100.0
1,47,64,1,6,2,1,6,3,60.5
6,51,97,1,9,2,1,7,2,98.5
4,66,95,0,5,1,5,7,3,83.9
1,85,89,1,8,3,4,5,6,72.2
7,88,67,0,3,3,1,8,3,100.0
9,32,91,1,9,2,2,8,8,90.1
4,57,69,0,8,3,3,9,6,80.0
4,64,55,0,3,2,1,7,7,59.599999999999994
6,90,61,0,7,3,1,5,1,100.0
3,83,51,0,9,2,2,8,3,82.0
6,92,56,0,7,3,4,5,3,95.60000000000001
7,36,65,1,9,0,1,5,2,84.9
3,78,52,1,7,1,1,7,7,69.80000000000001
7,60,94,1,8,0,4,9,9,90.7
3,87,52,0,6,1,2,7,4,75.9
2,90,76,1,9,1,1,4,5,82.8
4,53,99,0,9,2,4,8,3,89.4
8,49,92,0,7,1,1,8,9,89.2
9,66,89,1,3,0,3,8,4,97.10000000000001
7,33,87,1,9,0,5,6,5,81.8
1,49,82,0,7,3,3,5,1,67.2
3,89,77,0,4,0,1,7,2,82.7
9,53,50,1,7,3,2,8,9,79.2
1,79,57,1,8,1,5,4,2,69.2
9,78,86,1,6,0,3,8,5,97.5
8,80,81,1,4,1,4,9,8,85.8
1,65,97,0,8,0,2,5,3,70.6
6,95,92,1,8,0,3,5,6,98.6
5,63,86,1,8,3,4,7,4,87.5
6,65,53,1,3,1,1,6,7,63.900000000000006
5,35,79,0,8,0,4,7,3,75.2
6,68,55,0,3,2,3,8,6,76.7
5,71,95,0,8,1,3,9,9,84.9
5,87,68,0,5,1,1,4,1,86.2
4,41,81,1,4,1,4,7,3,63.7
3,32,58,0,5,3,4,6,2,57.7
3,47,61,1,8,2,1,7,8,66.1
4,69,60,1,4,1,4,5,7,59.599999999999994
9,50,95,1,4,0,1,8,2,95.5
2,44,65,1,9,0,2,8,6,58.099999999999994
9,55,50,0,6,3,3,8,3,90.0
1,37,94,0,5,0,2,8,8,48.0
1,71,70,0,6,1,5,8,3,67.4
5,73,79,1,4,0,5,8,9,70.4
6,43,62,1,3,1,5,4,1,68.8
6,31,83,1,4,0,1,6,5,65.8
3,66,53,1,6,2,4,8,3,64.80000000000001
7,98,77,1,5,3,2,6,6,100.0
9,67,87,0,8,3,2,9,2,100.0
8,70,80,1,9,2,2,8,9,98.5
6,91,76,0,9,2,2,7,6,96.2
8,89,54,1,9,3,5,8,7,93.8
5,43,74,1,8,2,2,5,5,74.9
8,31,52,0,9,1,4,4,9,65.0
4,99,82,0,5,0,5,7,1,85.7
8,46,53,1,8,3,2,7,5,82.30000000000001
2,57,74,1,9,2,1,5,6,67.0
5,95,69,1,8,1,3,8,7,94.7
9,64,83,1,6,3,3,4,4,99.0
4,34,75,0,5,2,3,7,1,70.6
6,94,54,1,7,3,5,4,8,79.3
1,69,84,0,3,2,2,7,4,59.8
9,85,77,1,9,3,5,8,3,100.0
1,65,78,0,3,1,4,9,7,56.400000000000006
5,74,58,0,8,1,1,7,2,91.5
4,52,87,1,3,0,1,9,8,64.89999999999999
3,76,99,0,5,3,3,7,6,79.60000000000001
6,60,55,1,5,0,3,6,7,62.0
2,40,68,0,4,3,3,8,5,49.400000000000006
3,39,93,1,9,2,2,5,9,65.0
5,96,60,0,4,2,4,9,5,79.9
9,43,51,1,3,0,4,5,5,69.0
2,39,96,1,7,3,4,8,3,65.4
8,30,93,0,4,0,4,5,1,74.4
2,34,93,0,4,1,3,8,2,57.0
5,49,58,0,5,0,1,5,8,63.0
7,37,70,0,7,0,3,9,1,79.3
8,72,73,1,8,2,4,6,7,88.19999999999999
1,30,83,0,3,0,3,5,5,44.4
6,86,71,1,4,3,4,9,3,96.7
1,93,52,0,7,2,5,7,7,67.30000000000001
2,57,61,1,9,0,1,8,9,59.599999999999994
1,66,77,1,7,1,5,4,2,61.0
5,76,79,1,3,0,2,4,8,69.10000000000001
9,66,75,1,7,0,3,8,9,90.4
6,78,97,0,7,0,2,6,3,92.8
1,73,70,0,7,2,3,5,2,68.2
1,85,77,1,9,3,5,6,7,77.1
2,57,75,0,4,1,4,4,5,51.3
9,35,82,0,3,0,4,9,5,77.1
3,90,70,1,9,3,3,8,5,84.0
1,49,84,0,7,3,4,8,4,63.3
5,31,83,0,7,2,5,6,5,65.8
7,66,90,0,4,1,4,9,4,89.9
6,49,96,1,3,2,5,6,6,77.4
1,55,67,0,5,3,2,5,4,60.599999999999994
5,58,60,1,9,3,5,7,2,79.7
5,30,72,0,4,3,1,9,9,63.599999999999994
6,64,97,0,3,2,1,7,2,90.7
3,99,71,0,9,1,1,5,9,83.9
5,88,66,1,7,0,3,7,6,88.0
7,98,54,1,3,2,3,4,9,75.9
5,62,93,0,3,3,3,7,9,77.69999999999999
5,80,60,1,8,2,5,5,3,84.5
5,41,79,0,3,3,3,7,1,73.10000000000001
3,49,64,1,5,0,2,8,1,61.3
1,82,76,1,3,0,1,6,3,62.10000000000001
5,72,84,0,5,1,5,4,5,73.0
9,79,82,0,7,3,1,8,3,100.0
1,58,69,0,5,1,3,8,9,45.900000000000006
3,86,65,0,9,1,5,5,9,70.9
4,68,83,1,7,0,4,6,3,81.6
1,85,51,1,7,2,2,6,3,65.8
1,72,84,1,5,2,3,9,5,68.5
8,79,89,0,4,1,3,4,2,99.8
2,52,77,0,6,0,2,5,6,61.900000000000006
8,73,96,1,3,3,2,4,7,91.0
7,67,88,0,8,2,4,9,9,87.69999999999999
2,52,55,1,6,1,3,7,6,50.8
6,74,58,1,3,2,3,8,3,80.5
